guid,bucket,image_url,record_uri
9704478A-E518-4C29-99CE-06AF595B9124,dog_keyword,https://www.carc.ox.ac.uk/Vases/SPIFF/Images200/23032015/3367.1/cc001001.jpe,http://www.beazley.ox.ac.uk/record/BCC49E51-44AA-411A-B375-C639DCB67CF2
149BD73C-1023-4C99-AECE-4895D2FF60DC,dog_keyword,https://www.carc.ox.ac.uk/Vases/SPIFF/Images200/GER79/CVA.GER79.4064.2/cc001001.jpe,http://www.beazley.ox.ac.uk/record/FA53C6FA-16A5-42AD-B0CE-F0C422C92563
9B3CEE44-3099-4770-9EEC-9FD142AF45BD,dog_keyword,https://www.carc.ox.ac.uk/Vases/SPIFF/Images200/Bonhams/3886.1/cc001001.jpe,http://www.beazley.ox.ac.uk/record/AC7FBD3C-A5F6-4B16-86CE-5FCDC7A185A3
97C456D4-CB33-4EA6-A1DA-4CB2B34CDDF9,dog_keyword,https://www.carc.ox.ac.uk/Vases/SPIFF/Images200/USA23/CVA.USA23.FIG.11/cc001001.jpe,http://www.beazley.ox.ac.uk/record/F44559F3-8DA8-4707-9A1E-791295665B6D
A750326B-DEB8-4395-825F-CD296DDEEB38,dog_keyword,https://www.carc.ox.ac.uk/Vases/SPIFF/Images200/Unatt16to30/4179.A/cc001001.jpe,http://www.beazley.ox.ac.uk/record/42C71339-D7F7-4796-9BFC-436D345CDD31
B69F01F0-3329-4A7D-B903-85699A3B8A36,dog_keyword,https://www.carc.ox.ac.uk/Vases/SPIFF/Images200/IT50/CVA.IT50.2229.6/cc001001.jpe,http://www.beazley.ox.ac.uk/record/592B48AB-02D4-407C-8560-7E6B082E2AA4
D0B89A5A-BC2D-46A4-BE0C-84DE1979C7C8,dog_keyword,https://www.carc.ox.ac.uk/Vases/SPIFF/Images200/GR01/CVA.GR01.012.3/cc001001.jpe,http://www.beazley.ox.ac.uk/record/7607CC3E-05C5-4161-82D1-47C879965159
B2898521-A50F-4C4C-9119-DBE6E437451E,dog_keyword,https://www.carc.ox.ac.uk/Vases/SPIFF/Images200/Unatt01/4700.A/cc001001.jpe,http://www.beazley.ox.ac.uk/record/BE28AFA6-CE35-4D79-B952-BD4D0168B84C
D67D0BAC-7E89-485B-8442-F76F66F1AF6D,dog_keyword,https://www.carc.ox.ac.uk/Vases/SPIFF/Images200/Unatt2to15/4824.AB.PART/cc001001.jpe,http://www.beazley.ox.ac.uk/record/080A4218-1969-4887-AF1B-29C62EA5F39D
EFD1FED3-A7BE-4676-88A0-04E6188A0D89,dog_keyword,https://www.carc.ox.ac.uk/Vases/SPIFF/Images200/IT56/CVA.IT56.2501.6/cc001001.jpe,http://www.beazley.ox.ac.uk/record/8C985B0C-A3BC-4655-8588-06FAB7A0F85C
A4DA613F-93C4-42C6-A92F-2CCD27EC83FB,dog_keyword,https://www.carc.ox.ac.uk/Vases/SPIFF/Images100/001204/5445.A/cc001001.jpe,http://www.beazley.ox.ac.uk/record/C69D3029-ED81-4C91-95DE-62933D1C7C67
64E8DC43-7907-4EB3-87F3-AE1170E5FEF1,dog_keyword,https://www.carc.ox.ac.uk/Vases/SPIFF/Images200/SWZ03/CVA.SWZ03.106.3/cc001001.jpe,http://www.beazley.ox.ac.uk/record/CE9D5D85-2B80-4527-85B7-98D3C339AFD0
19B3DE07-4500-40B8-BC2A-E726D1701EF1,dog_keyword,https://www.carc.ox.ac.uk/Vases/SPIFF/Images200/14112014/5723/cc001001.jpe,http://www.beazley.ox.ac.uk/record/2766C6E4-77C1-4C9F-A7AC-929FAB0A86E6
